CHAMPION	DIFFICULTY	WHAT TO DO	
Talon	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Talon has very good burst but lacks damage in a sustained trade. Look to force longer trades by fighting him away from walls where he can hop over. Talon's base stats cant compare to yours so early trades will be heavily in your favor. Level one Talon cannot proc his passive so make sure you put very good early pressure on him. You can build tiamat in this matchup to put pressure on talon and his turret and make sure he does not roam. If Talon does roam look to pressure turret hard and try to ping to your team that he is missing. In the mid-late game if he can burst you 100-0 you might need to buy a little bit of armor if your win condition is to win the 1v1 versus him. I have sometimes built a randuins as a 6th item.	
Taric	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Taric has really good base armor values and has good on hit damage but early on will lack the mana for all ins with you. You can also easily juke his stun in a 1v1 especially if you hit your w slow on him. Look to constantly pressure him as taric does not farm under turret very well especially early in the game. In the mid-late game if taric builds full armor you can just completely ignore him when you push in and hit turret in front of him, or you can out rotate him after you push and look for opportunities to flank his team.	
Teemo	Hard	Fleet Footwork Runes and Build. (Second wind + revitalize in resolve tree) Ignite + Flash. Dorans shield start. The most consistent way to beat teemo is to look to farm up early with tp and wait for tiamat spike, TP back and look for pressure on him. If you take ignite you can look for early trades levels 1 and 2 and look for level 2 advantage for an early kill. If you take TP just let the teemo push you in and only look to farm. Look to avoid damage in any way possible so make sure that you position well against him either by hiding in the brush while waiting for minions to farm or hanging back behind your ranged minions. If teemo tries to harass you make sure you stand within your minion wave then kite back so that he takes minion damage. A good tip against teemo when you do trade against him is that teemo's blind affects your autos THE INSTANT YOU START THE ANIMATION not when you finish the auto. So while you are blinded pay attention to the white CC bar under your resource bars to see when his blind will run out, keep on top of teemo and don't auto attack until the white bar has COMPLETELY elapsed. Hitting your W slow against Teemo can be difficult cause he can turn back to throw his blind or auto attack. My advice is when you spin for the all in, wait until after his blind + auto to use your W slow. Or if you want to play it safe you can run at teemo to try to force him to turn his back to you and W slow him before you spin in. I heavily advise to either take Legend:tenacity or buy merc treads (or both) when playing against teemo. In the mid-late game split push against Teemo you do outscale him as long as you didnt let him get ahead of you. If you stay atleast even you should win all ins, just make sure you hit that W slow or he can punish you really hard!	
Thresh	Trolling	if they pick thresh top they are trolling.	
Tristana	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Since tristana has range she does have pretty good poke, but her range isnt great early and her w costs a lot of mana to escape. So you can look to spin in and trade with her pretty early and often to force cooldowns and mana. Her W cooldown level 1 is 22 seconds which can be reset with takedowns and by fully blowing up her bomb. You outscale Tristana in the 1v1 up until she gets 6 items where she can actually self-peel herself pretty well. In the case where you split against a 6 item tristana late in the game, look to catch her out around a corner or have her facecheck you. Or you can look to hit a w slow and force her ultimate, then reengage on her when your w slow comes back up.	
Trundle	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. DO NOT FOR ANY REASON TRY TO FIGHT TRUNDLE LEVEL 1 EVEN IF HE HAS NO ITEMS OR HE HAS NO ARMS. HE WILL BEAT YOU. His Q reduces your attack damage, gives him an auto reset, can proc his pta or conqueror faster and will grant him attack damage and is on a 4 second cooldown. Once you hit level 4 and you get the extra base stats from levels and AD from your Q you will be powerful enough to start looking for trades with him. Trundle's pillar can knock you up but it does not CC you meaning that you can actually spin away or towards trundle while being knocked up. Be careful when you are far up the lane against trundle because if you take a bad trade and try to spin out he can pillar you and chase you down and force you into an allin. If Trundle is chasing you down try just walking away from him and save your spin for when he pillars you. A good time to take a trade with trundle is when his W is on cooldown. His W gives him increased healing, movement speed, and a bunch of attack speed. Trundle's ultimate steals health and resistances which can make him tanky, if you are able to force his ult and back off and reengage the all in after his ulti is down, you can fight him with an ultimate advantage (assuming you couldnt just kill him through his ultimate.) Ignite can cut down on Trundle's healing immensely and as a 6th item against trundle. Mortal reminder is also a good choice (potentially go executioners early on too if he rushes lifesteal)	
Tryndamere	wat u doin	??????????????????????????????? (get out of normals)	
Twisted Fate	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start, You have the option to take Legend:Tenacity in this matchup instead of alacrity. TF top with the trinity force build has a lot of poke and he has good disengage with his gold card. Good times to look for trades his level 1 after you have built a little bit of fury, or if he wastes his card on a blue or red card on the wave. TF's Gold card cooldown is a 6 second cooldown so you have that much of a window if he wastes a card or if he stuns you or hits you with it without you using your spin. Merc Treads is a good purchase against twisted fate and/or you can get a QSS for allins later in the game. In the mid-late game you can fight twisted fate away from his turret assuming that you have already built tenacity or QSS, but under turret can be a bit difficult without getting some poke damage on him first.	
Twitch	Easy	Fleet Footwork Runes and Build. Ignite + Flash or Ghost + Flash. Dorans shield start. Twitch has no escapes except for a slight movespeed bonus during his stealth. Look to hold the wave on your side of the lane and look for allins using the length of the lane to run him down. In mid-late game teamfights, try to find where twitch will be ambushing from and look to focus him down first. You beat Twitch in a 1v1 at every stage of the game.	
Udyr	Medium	Lethal Tempo Runes and Build. Ignite + Flash or Ghost + Flash. Long sword refillable potion start. Udyr top has really good early damage with tiger stand and stuns with bear stance. Early levels though Udyr does not have a good mana pool to work with so he can run out of mana very quickly if he swaps stances too much. Look to farm out the early game and avoid damage when possible. If Udyr trades into you early you can fight him within your minion wave but make sure to kite back while autoing in case you need to disengage. Try to let Udyr push you in early game so that you can farm and get experience from the safety of your turret. Save your W slow when looking for an allin on the Udyr for when he kites away after his stun, or if you can hit it before he stuns so he cant seperate as much distance from you that works too. In the mid-late game you can fight Udyr outside his turret but he is very hard to dive 100-0 even with items. If he is hugging turret look to outrotate him using your superior mobility.	
Urgot	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Dorans Shield Start. Urgot has strong poke in the early game but by the time you get level 4 and you have a good amount of HP and fury you can look for solid trades against him. Look to avoid his q's by preemptively dodging them when you walk up for minions. Make sure when you are trading with Urgot that you stay at an angle where only one leg can hit you so you take less damage, his flip has a cast animation so you can look to sidestep it if you are looking for it. You can use tryndamere's ultimate at any point during Urgot's ultimate, if you want to maximize your tryndamere ultimate, use your R right as you are about to enter the grinder (usually it takes .5 seconds or so when u hit the grinder for you to actually die so just press r right before that.) In the mid-late game you can beat Urgot 1v1 If he is away from his turret, but under turret it can be difficult if you arent massively ahead of him. If he is hugging turret look to use your superior mobility to out rotate him after you shove him in, and look to take jungle camps, ward, or flank his team (if you see an opportunity.)	
Varus	Easy	Fleet Footwork Runes and Build. Ignite + Flash or Ghost+Flash. Dorans shield start. Varus has good poke and disengage but he is an immobile champion. Look for opportunities to trade with varus early levels because he is very weak early compared to tryndamere (in terms of stats.) If he pokes you hard stay back and sustain up. Varus's auto attacks apply a passive which enhances the damage of his next ability that he hits you with, so be careful about being bursted after he has stacks on you especially when trying to time your R. You can buy a QSS later in the game if you feel like you need it to stick onto him. In the mid-late game Varus can not hold you 1v1.	
Vayne	Hard	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. Vayne top is the bane of all melee tops. If you can look to swap lanes with your mid laner who might have a better chance of laning vs her to counter the cheese. Look to let vayne push you in, use the bushes top lane to avoid auto attacks while you are waiting for minions to get low to farm. If vayne trades with you make sure you are within your minion wave so she takes damage from your minion wave and it will also cause the wave to push against you. You can look for trades if you kept your health high and you are level 4 with minion advantage while pushing towards vayne. Vayne's condemn cooldown is a 20 second cooldown level 1 while your spin is a 12 second cooldown level 1 (also decreases in cooldown every time you crit.) Vayne also is really susceptible to ganks from your jungler early, so make sure that you are keeping your lane in a position where he can gank for you (keep your health high and keep your cooldowns available when your jungle is closeby.) In the mid-late game you can find opportunities to 1v1 vayne if you catch her with your w or she face checks you in a brush, but avoid trying to fight her straight up in lane. Try to catch her off guard from the fog of war.	
Veigar	Easy	Lethal Tempo Runes and Build. Ghost + Flash. Long sword refillable potion start. Veigar's cage is the only thing stopping you from running him down the lane. He is an immobile champion with high burst that you counter with your ultimate. He is also very squishy with high cooldowns. Veigar's E cooldown level 1 is 18 seconds while your spin is a 12 second cooldown level 1. Remember that you cannot spin through veigar's cage it will stop you mid spin if you spin into the edge of it. Win the lane by punishing his cooldowns. Post 6 you can dive him, make sure that you start dives with an auto attack, activate your ghost and you can even just run into the veigar stun and then run him down afterwards. In the mid-late game, Veigar can be hard to dive if he holds on to his cage and has zhonya, but look to push him in and outrotate him, or buy a qss to bypass his cage stun.	
Velkoz	Medium	Fleet Footwork Runes and Build. Ignite + Flash or Ghost + Flash. Dorans shield start. Vel'koz has really good poke and disengage with his abilities, your chance to all in him is dependent on your ability to dodge skillshots. Tips for avoiding skillshots, think about his cooldowns preemptively and if they are available look for the cast animations. Keep your mouse cursor close to your character so even if your moving in one direction you dont have to move your mouse as far to juke to a different direction to avoid a skill shot. Use your spin to avoid Vel'koz's E if it is available. Once you have tier two boots and tiamat there will be plenty of times to all in him. I usually try to hit my w before spinning in just because with velkoz if you miss your w after you spin in he has so much damage that he can hit you with while you are retreating back. In the mid-late game, velkoz cannot hold you 1v1 outside of turret range, and is somewhat easy to dive even in his turret range just because of how squishy he is. If you feel like for whatever reason you cannot dive him just shove in and rotate to take jungle camps, ward, or look for opportunities to flank his team.	
Vi	Easy	Lethal Tempo Runes and Build. Ignite + Flash or Ghost + Flash. Long sword refillable potion start. Vi can poke you through minions with her E, pay attention to where she is angling her punches. If vi uses an ability she gains a shield but her shield has a 16 second cooldown level 1, so you can look for trades when it is down. Levels 1-2, tryndamere wins allins vs Vi really hard. After level 3 what Vi will look to do is poke you with her e and when you spin on her she will disengage by q'ing you auto attacking and resetting auto attack with e for her 3 hit combo to proc her w passive. If you look to start trades with an auto attack though, you can have your spin up for after she disengages with her Q to extend the trade. In the mid-late game Vi cannot deal with you 1v1.	
Viktor	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Viktor has really good poke but your base stats are higher then his level one. Can look to sit in the top lane brush and wait until the first 3 minions are low, then you can spin through those 3 minions and get a trade onto viktor to force him off the wave. Look to get level 2 and look for a trade with him as soon as you hit your level 2 power spike. Shove the wave in and let it "bounce" back to you (when you crash the wave into turret all the way, the enemy wave will slowly start pushing towards your turret.) If you didnt burn summs or get a kill on him the first two levels, then look to let the wave shove back into you and just look to farm. Viktor is immobile but he has really good Crowd control with his W. If you can, try to force viktor to back before he has enough gold for his first core item (the one that enables him to get more of a shield and speed boost on his Q.) If you are able to do this you can have pressure on him post 6. If lane goes even and he scales up this just becomes a farm matchup in the 1v1. In the mid-late game against viktor you can buy a QSS to stick on top of him through his W stun, or if you have multiple points in your W, the w slow is usually enough to stick on top of him even after his stun. What I like to do is hide my W animation with the animation freeze effect on Viktor's W so he doesnt know to dodge it.	
Vladimir	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Remember that you are taking Fleet footwork to be AGGRESSIVE in this matchup! Look for early trades against vladimir after building some fury. Look to back off when his empowered q is almost up (when is bar fills all the way up.) With vlad's empowered q he gains movement speed, bonus healing, and damage but he has to use the empowered q within 3 seconds. Vladimir usually takes phase rush in this matchup so you have to take consistent short trades against him, it is really hard to force an allin against him unless vlad wastes his phase rush before you commit to him. If vladimir is playing back and safe this is mostly a farm matchup, you can look to pressure vlad under turret with short trades (auto attack + spin out.) Or you can try to hold the wave close to your turret to try and force opportunities to get multiple short trades in a row. Phase rush has a 15 second cooldown and tryndamere's spin is a 12 second cooldown level 1. So you can spin into vlad auto attack him, he will q, then e + w to disengage. Then if he walks back up while your spin is available you can look for an allin. Vlad's w and E cost him health so if you force his W, that by itself is a really good trade. Vladimir's W is a 28 second cooldown level 1. In the mid-late game against vladimir you can beat him outside of his turret range in an allin by looking to spin on him, resetting your spin and chasing him down through his phase rush with your second spin, but it is nearly impossible to dive him with his w + zhonya + phase rush + ultimate healing. If vlad is hugging turret, look to shove him in and rotate into jungle camps, placing deep wards, or looking to flank his team while he is covering the wave.	
Volibear	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. The most important thing to track in the volibear matchup is his starting ability and his runes. If volibear takes PTA and starts W (his maul) you want to make sure that you DO NOT fight him lvl 1. Let him shove the wave in. Volibear's passive will gradually make him shove it in, the best thing you can do is walk up and try to get cs without taking damage. If voli takes grasp or starts his E (the thunderstorm thing) then you can look to shove him in early and get the first 2 waves into turret so it shoves back towards you. Volibear has an INSANE trading combo where he will maul you (his w) to push you off minions where you have to stay away from volibear for 7 seconds so that he does not get the bonus dmg and healing from the 2nd maul. If you walk too close after his first w he will use his q and his e together to basically stun you in place so that you also get hit by the thunderstorm and its really hard to trade back. It is important when getting away from voli and mitigating damage from his combo that you buffer volibear's q with your spin. In this matchup typically you are looking to farm it up and fight him after you get tier 2 boots and essence reaver. There will be times where voli runs out of mana or maybe your jungler comes up where you can look for a kill but other then that look to survive. In the mid game with your CDR + crit you shouldnt have an issue fighting him unless you miss your W slow. Its really important that you beat voli in a single all in trade. Ignite or exeuctioners is really imporant to have too especially if he gets tanky because of his healing. Look to save your E to stick onto him if you know he is looking to ult away or to dodge his ulti dmg. https://youtu.be/2Bmm0YGguSI	
Warwick	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Warwick has mana issues in laning phase. If you take enough trades with him without being all inned and bursted down he will run out of mana and that could be your opportunity to look for a kill. When warwick activates his E for the fear and damage reduction you usually want to kite it out or disengage from the trade (unless you can kill him thru the damage reduction.) Warwick will not win a straight up all in unless he has gotten good trades into you first, so be looking to set up your wave on your side of the lane so you have room to run him down in an allin. In the mid-late game you can beat warwick in a 1v1 away from his turret, and you can dive him under turret after a couple of auto attack+ spin out short trades or if he wastes his E. You can try to bait out his E, then spin out, then reengage the dive.	
Wukong	Medium	Lethal Tempo Triumph Bloodline Last stand + Bone plating revitalize. Ignite + Flash. Dorans shield start. Win the matchup by taking short trades into an allin. It is important that in short trades that you don't just spin away but you actually take 2-3 auto attacks into wukong and then spin away. In a straight up all in Wukong gets so much armor from his passive but if you take trades where you only let him stack it up a little bit then disengage it can be hard for wukong to sustain through that damage. Typically you want to get him down to atleast half before committing to an all in. Again the reason you want to get his hp down some before fighting is so that he cant survive long enough to stack his passive all the way up. Its imporant if you are diving wukong that you try to burn his ultimate or his clone before committing to the dive. When wukong clones, make sure to keep a timer on it in your head because it is a 20 second cooldown early on. Sometimes you can punish his clone being down if he walks back up to you while its still on cooldown. If you don't get an advantage in lane be careful for when he hits his blade of the ruined king spike. He can force a trade on you if you are overextended and 100-0 you without you being able to fight back effectively. In the mid-game if you are behind, just look to farm up and play away from wukong. By late game you will have enough damage to all in him, if he itemizes deaths dance and blade of the ruined king make sure you get executioners.	
Xayah	Easy	Fleet Footwork Runes and Build. Ignite + Flash or Ghost + Flash. Dorans shield start. Xayah has good disengage with her feathers and because she is ranged she can harass you early. Look to avoid damage and build up fury and you can trade with her level 1. Tips against dueling Xayah: Look to sidestep the angle of her feathers, don't just run in a straight line against her, xayah pulls back feathers towards her always, so for instance if xayah ultis, try to get behind her so that you are not in between xayah and her feathers. If pulls her feathers back and hits you with 3 or more you get rooted. If you can manipulate the wave so it is on your side of the lane, it can be easier to setup allins on xayah. In the mid-late game xayah can be annoying to duel but if you hit your w slow you will win most of the time vs her. When diving xayah, look to try to avoid the root with her feathers after she ultis.	
Xerath	Easy	Fleet Footwork Runes and Build. Ignite + Flash or Ghost + Flash. Dorans shield start. Look to dodge skillshots by juking to the side after walking up and w slowing him or buffer his stun with your spin (you can auto attack through cc if you time your auto correctly.) You should be able to outsustain his poke unless you let him auto you too much, but with xerath's low mobility you should be able to run him down if he extends too far in lane. In the mid-late game he cannot hold you 1v1.	
Xin Zhao	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Xin gains bonus range and damage with his Q and his 3rd auto attack with his Q will knock you up. You want extended trades vs xin zhao to beat him, if you let him get short trades on you while you are farming minions to poke you down then you will miss your opportunity to all in. Start off all trades with xin with an auto attack that way you can save your spin to stick onto him. Xin cannot knock you away with his ultimate if he has auto attacked you, he must auto attack a minion or something else to be able to knock you back. So if you catch him out of lane, you can all in him pretty easily. You will win vs xin zhao in the mid-late game split push very easily. He does not scale very well.	
Yasuo	Medium	Lethal Tempo Runes and Build. Ignite + Flash Long sword refillable potion start. Lethal tempo can sometimes be ineffective against yasuo because of how well he can kite away from auto attacks in your minion wave however if you catch him away from your minion wave or he stays in your auto range too long this is they better keystone to take. If you can build up fury without taking too much damage level one you can look to get level 2 advantage and take a good trade. To avoid damage from yasuo's q walk inside his q range, then instantly right back out to bait out his q and dodge it. If you are looking for a trade against yasuo, first try to take away his shield by damaging him with an auto attack, then engage on him after the shield expires. Yasuo has very strong level 1 and 2 allins, so if you take too much damage level 1 building up fury, let him push you in, sustain back up so you can fight him when you hit level 4. After level 6, Tryndamere can win an allin with yasuo by sticking on to him, after he uses ultimate, Yasuo must look to try to kite with his knockup and dashing through your minions. It is always best to fight Yasuo away from your minion wave.Typically post 6 if you are able to engage on him and dodge his tornado in the all in you will win by default because he cannot ulti. In the mid-late game you can win against yasuo away from minions although in your minion wave if he is even with you, he can fight you well. Once Yasuo is 6 items it becomes a very even 1v1 even away from minions.	
Yorick	Easy	Lethal Tempo Runes and Build. Ignite + Flash or Ghost+Flash. Longsword refillable potion start. You want extended trades vs yorick, look to start every trade with an auto attack so you can save your spin to extend the trade. Yorick's wall has a 20 second cooldown level 1. Trades that yorick wants to take against you is ones where he can trap you in his wall and hit his e with ghouls up. Trades you want are ones that you are able to stick onto yorick even after he casts his wall (if you are able to save your spin to get out of his wall that is perfect.) Yorick is very strong at level 6 with his maiden up, but if you are able to kill his maiden or kill yorick his ultimate has a VERY long cooldown (160 seconds level 1.) The more yorick E's you can avoid in this lane to prevent his ghouls from harassing you, the higher chance you have of winning against him. In the mid-late game Tryndamere outscales Yorick heavily in the 1v1 as long as you can manage to stick to yorick. Critting yorick's wall reduces your spin cooldown. 	
Yuumi	?	Do people actually think this is a champion?	
Zac	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. You beat zac in allins because he simply cannot deal enough damage to you. He has decent disengage with his jump, but his jump is a long cooldown. If he is playing very safe, buy a tiamat and shove him in constantly because zac will have a hard time farming under turret and this will give you an opportunity to ignore him and get plates or take small auto attack+spin out trades. In the mid-late game zac becomes very tanky and can disengage a dive, but his cooldowns are long so you might be able to reengage the dive after walking out of turret range if you managed to keep your ultimate up. If you find him away from his turret and you have multiple points in your w slow there is a good chance you can chase him down.	
Zed	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Zed has decent harass in lane phase from a distance but must burn his w cooldown to deal significant damage to you. Look to sidestep his q's when going for minions and trading with him if he uses his W to harass you. Your sustained damage is better, zed is looking to burst you and kite, so if you can manage a w slow and engage on him with his w down that is your ideal fight. Post level 6, zed has multiple ways of kiting you, but if you are able to absorb his ultimate without using your ultimate that leaves you with a huge advantage. Try to keep your health high at all times in the lane so that he cannot get his passive on you (while below 50% hp zed deals bonus damage to you with an auto attack.) Splitting against zed in the mid-late game can be difficult, if he can one shot your hp bar and kite you dont look to fight him. Look to shove in, force him to rotate towards your lane, then rotate away towards jungle camps, placing wards, or looking to swap lanes or flank the enemy team. Late game against zed if you need to 1v1 him in order to win the game, buy a randuins and he wont be able to one shot you from 100-0 to burn your ultimate meaning he will have to stay on you longer to commit more damage giving you room to get your all in damage in before he can kite you. Or if he doesn't commit the damage you can have an ultimate advantage and run him down afterwards.	
Ziggs	Easy	Fleet Footwork Runes and Build. Ghost + Flash. Dorans shield start. Ziggs has good poke, but is mostly immobile besides his satchel charge, his W, which has a 24 second cooldown. Look to avoid his Q by standing away from your minions where his q can splash and juking side to side while waiting for minions to get low enough to farm. Look to hold the wave close to your turret to give you the most room for an all in on him. In the mid-late game ziggs cannot hold you 1v1, but can clear waves very effectively. Look to find him away from turret or if you hit a max rank w slow you can dive him 100-0 with 0 minions. 	
Zilean	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Zilean has great disengage and crowd control against Tryndamere but if you manage to avoid his double bomb CC, then you can usually get good short trades on zilean. Zilean has no sustain in his kit so you can eventually force him out of lane. In the mid-late game zilean holds the wave and prevents dives on him with his ultimate really well, look to rotate away from him after shoving him in and try to kill his team. Or catch zilean out away from his turret to burn his cooldowns. You can buy a QSS in this matchup to cleanse the stun/slow	
Zoe	Medium	Lethal Tempo Runes and Build. Cleanse + Flash. Long sword refillable potion start. Zoe cannot kite you if you cleanse her sleep bubble. You can cleanse the bubble as soon as it hits you before you even fall asleep. You want to kill her in a single all in if possible. Avoid poke by standing well behind minions until it is time to walk up for CS or juking to the side. Hold your wave on your side of the lane to give you the most room for allins. In the mid-late game you can split against zoe and win the 1v1, just pay attention in case she picks up an extra flash or anything with her W. Usually if you hit your w slow she cannot kite you out.	
Zyra	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Zyra has really good harass, and her plants provide an extra zoning tool. The way you beat Zyra is by punishing her long cooldowns. If Zyra misses a root you need to look to punish it. If she is extended in the lane you can look to spin on her and hit the w slow to follow up on her to all in. Post 6, zyra will also have her ultimate to disengage, if you can force zyra to ult to disengage from you without having to use your ultimate, you can use your ulti advantage to kill her. Sometimes you are able to follow up on her even after the ultimate if you managed to reset your spin with enough crits and CDR. In the mid-late game Zyra will not be able to hold you 1v1. You will have too much damage and mobility to run her down with. Although if you feel like it is risky to dive her, you can always shove her in and rotate to take jungle camps, deep ward, or flank the enemy team.	
